id,gender,masterCategory,subCategory,year,usage,productDisplayName,filename,articleType,baseColour,season,price,click_count,user_type,purchase_prob,purchase_pred,inventory
58446,Women,Accessories,Watches,2016.0,Casual,Fossil Women White Dial Chronograph Watch,58446.jpg,Kurtis,Maroon,Fall,49.0,5,budget,0.055333965,0,1
26676,Women,Footwear,Flip Flops,2012.0,Casual,Puma Women Stawberry Pink Flip Flops,26676.jpg,Flip Flops,Red,Summer,54.0,3,color_lover,0.31772193,0,87
17684,Women,Footwear,Shoes,2015.0,Casual,Catwalk Women Ballerina Grey Casual Shoe,17684.jpg,Casual Shoes,Black,Winter,68.0,2,color_lover,0.16130234,0,29
37946,Women,Apparel,Topwear,2012.0,Casual,Mineral Women Mustard Tunic,37946.jpg,Shirts,Blue,Summer,64.0,1,budget,0.45856768,0,37
10149,Men,Footwear,Shoes,2011.0,Formal,Rockport Men Ed Plaintoe Brown Formal Shoes,10149.jpg,Formal Shoes,Black,Fall,60.0,2,color_lover,0.10843548,0,1
37450,Men,Accessories,Belts,2012.0,Casual,Turtle Men Black Belt,37450.jpg,Belts,Black,Summer,41.0,2,color_lover,0.18232657,0,63
6298,Women,Footwear,Shoes,2015.0,Casual,Catwalk Summer Blue Flats,6298.jpg,Heels,Brown,Summer,10.0,3,fashionista,0.019134747,0,59
30729,Girls,Apparel,Bottomwear,2012.0,Ethnic,Fabindia Girls Printed Blue Salwar,30729.jpg,Tops,Blue,Summer,78.0,1,fashionista,0.1542986,0,20
39499,Men,Apparel,Topwear,2012.0,Casual,Wildcraft Men Yellow T-shirt,39499.jpg,Tshirts,Green,Summer,25.0,3,color_lover,0.15766229,0,32
3329,Men,Apparel,Topwear,2011.0,Sports,KXIP Boys Fangear Tee,3329.jpg,Tshirts,Red,Summer,40.0,4,color_lover,0.1243529,0,75
10761,Unisex,Footwear,Flip Flops,2012.0,Casual,Disney Unisex Kids Basic Red Flip Flops,10761.jpg,Flip Flops,Red,Summer,45.0,2,budget,0.31603706,0,57
12701,Women,Footwear,Shoes,2011.0,Sports,Nike Women Lunarfly Blue Sports Shoes,12701.jpg,Sports Shoes,Blue,Summer,56.0,2,fashionista,0.28673017,0,21
39462,Women,Apparel,Topwear,2012.0,Ethnic,Diva Women Brown Kurta,39462.jpg,Kurtas,Black,Summer,77.0,3,budget,0.5303569,1,88
48897,Women,Accessories,Jewellery,2013.0,Casual,Lucera Women Silver Pendant with Chain,48897.jpg,Ring,Steel,Summer,51.0,1,fashionista,0.07186265,0,48
49642,Women,Apparel,Topwear,2012.0,Casual,Mineral Women Cream Tunic,49642.jpg,Kurtas,Cream,Summer,85.0,2,fashionista,0.06533819,0,90
32515,Men,Footwear,Sandal,2013.0,Casual,Franco Leone Men Brown Sandals,32515.jpg,Casual Shoes,Brown,Winter,36.0,3,color_lover,0.07023651,0,58
3400,Women,Accessories,Bags,2015.0,Casual,Murcia Women Brown Hobo Handbag,3400.jpg,Handbags,Green,Summer,44.0,4,budget,0.029350245,0,41
31847,Women,Accessories,Watches,2016.0,Casual,Titan Women Raga Mother Of Pearl Dial Watch,31847.jpg,Watches,Gold,Winter,69.0,3,color_lover,0.028656047,0,91
40972,Girls,Apparel,Topwear,2012.0,Casual,Palm Tree Girls Knits White Tops,40972.jpg,Tops,White,Summer,65.0,0,budget,0.46784016,0,59
6704,Women,Accessories,Socks,2011.0,Sports,Nike Women's Nsw Wmns Ctn White Pink Socks,6704.jpg,Socks,White,Summer,28.0,6,color_lover,0.22345805,0,79
44148,Men,Personal Care,Fragrance,2017.0,Casual,Nike Fragrances Men Casual Deo,44148.jpg,Deodorant,Green,Spring,64.0,4,color_lover,0.07759916,0,14
9717,Men,Footwear,Sandal,2015.0,Casual,Hush Puppies Men Decent Black Sandals,9717.jpg,Casual Shoes,Black,Summer,40.0,2,fashionista,0.30828306,0,61
29267,Men,Footwear,Shoes,2012.0,Sports,ADIDAS Men Predito Blue Sports Shoes,29267.jpg,Casual Shoes,Green,Summer,55.0,2,color_lover,0.29950377,0,61
52434,Women,Apparel,Loungewear and Nightwear,2017.0,Casual,Red Rose Women Purple Nightdress,52434.jpg,Nightdress,Green,Summer,55.0,2,fashionista,0.086844556,0,46
43768,Women,Accessories,Jewellery,2012.0,Casual,Royal Diadem Black Earrings,43768.jpg,Earrings,Gold,Summer,36.0,8,fashionista,0.034620713,0,61
4817,Men,Apparel,Topwear,2011.0,Sports,ADIDAS Men's AP ST Black T-shirt,4817.jpg,Tshirts,Black,Summer,57.0,4,fashionista,0.17018947,0,50
58914,Men,Accessories,Ties,2012.0,Casual,Hakashi Men Lavender Silk Tie,58914.jpg,Ties,Blue,Summer,77.0,4,fashionista,0.09694385,0,54
35439,Boys,Apparel,Topwear,2012.0,Casual,Doodle Boys Check Black Shirt,35439.jpg,Shirts,Blue,Summer,31.0,2,color_lover,0.40700772,0,63
46688,Men,Personal Care,Fragrance,2017.0,Casual,Rasasi Men Royale Perfume,46688.jpg,Perfume and Body Mist,White,Summer,35.0,3,budget,0.3921127,0,2
6900,Men,Footwear,Shoes,2011.0,Casual,Puma Men's Lifestyle Canvas Blue Shoe,6900.jpg,Casual Shoes,White,Summer,10.0,0,budget,0.30244514,0,50
40648,Women,Apparel,Topwear,2012.0,Ethnic,Span Women Purple & Blue Kurta,40648.jpg,Kurtas,Red,Summer,93.0,3,color_lover,0.61655736,1,6
3478,Men,Apparel,Topwear,2010.0,Sports,ADIDAS Men's White Universal Red Stripe T-shirt,3478.jpg,Tshirts,White,Summer,23.0,0,budget,0.4631069,0,20
54973,Women,Apparel,Dress,2012.0,Casual,Femella Women Off White Dress,54973.jpg,Dresses,White,Summer,53.0,5,fashionista,0.0030183513,0,72
37945,Women,Apparel,Topwear,2012.0,Casual,Mineral Women Soild White Tunic,37945.jpg,Tops,White,Summer,36.0,3,budget,0.3282453,0,38
48741,Men,Accessories,Jewellery,2012.0,Casual,Revv Men Steel Bangle,48741.jpg,Earrings,Steel,Winter,63.0,4,fashionista,0.011634145,0,17
53981,Women,Accessories,Bags,2012.0,Casual,Kiara Women Burnt Yellow Sling Bag,53981.jpg,Handbags,Brown,Summer,65.0,3,fashionista,0.028467951,0,3
5261,Unisex,Accessories,Bags,2017.0,Casual,Wildcraft Unisex Orange & Grey Printed Laptop Backpack,5261.jpg,Backpacks,Black,Summer,68.0,2,budget,0.32472846,0,88
15658,Unisex,Free Items,Free Gifts,2016.0,Casual,Belkin Unisex Simple Messenger Blue Handbags,15658.jpg,Laptop Bag,Blue,Winter,39.0,3,color_lover,0.027500842,0,59
35982,Women,Apparel,Topwear,2012.0,Casual,Flying Machine Women Grey T-shirt,35982.jpg,Tops,White,Summer,29.0,6,budget,0.060387067,0,13
2208,Men,Footwear,Flip Flops,2011.0,Casual,Puma Mens Drifter Black Flip Flop,2208.jpg,Flats,Black,Summer,15.0,5,color_lover,0.12953618,0,8
2939,Women,Apparel,Topwear,2010.0,Casual,DUSG Women's Play Lady Organic Blue T-shirt,2939.jpg,Tops,Grey,Fall,47.0,2,color_lover,0.05523431,0,89
23241,Women,Apparel,Topwear,2011.0,Ethnic,Aneri Women Juhi Blue Kurti,23241.jpg,Kurtas,Multi,Summer,65.0,3,color_lover,0.26384416,0,52
4383,Men,Apparel,Topwear,2011.0,Casual,Batman Men's Comics Foil Dark Blue T-shirt,4383.jpg,Tshirts,Blue,Summer,28.0,4,color_lover,0.55860025,1,1
52401,Women,Apparel,Loungewear and Nightwear,2015.0,Casual,Red Rose Women Blue Nightdress,52401.jpg,Nightdress,White,Summer,31.0,2,fashionista,0.08325039,0,83
34097,Boys,Apparel,Topwear,2012.0,Casual,Doodle Boys Printed Green T-shirt,34097.jpg,Tshirts,Green,Summer,61.0,7,color_lover,0.05040602,0,91
43059,Men,Apparel,Topwear,2012.0,Casual,Nike Men Blue FFF Football T-shirt,43059.jpg,Tshirts,Blue,Summer,40.0,2,fashionista,0.42602482,0,59
26716,Men,Apparel,Topwear,2012.0,Casual,Puma Men Large Logo Red T-shirt,26716.jpg,Tshirts,Red,Summer,20.0,3,fashionista,0.094997965,0,70
50622,Men,Apparel,Innerwear,2016.0,Casual,Chromozome Men White Brief,50622.jpg,Briefs,White,Summer,42.0,3,fashionista,0.08129417,0,43
6294,Men,Apparel,Topwear,2011.0,Casual,UCB Men's Super Star Print Green T-shirt,6294.jpg,Tshirts,Blue,Summer,36.0,5,budget,0.1526303,0,7
41467,Women,Footwear,Shoes,2013.0,Casual,Carlton London Women Brown Solid Suede Ballerinas,41467.jpg,Casual Shoes,Black,Winter,70.0,5,budget,0.098636866,0,46
47266,Men,Apparel,Innerwear,2016.0,Casual,FCUK Underwear Men White Striped Brief,47266.jpg,Briefs,White,Summer,28.0,3,fashionista,0.09220081,0,34
47232,Men,Footwear,Sandal,2012.0,Casual,Franco Leone Men Brown Sandals,47232.jpg,Sandals,Brown,Summer,34.0,3,fashionista,0.08392108,0,77
20333,Men,Apparel,Topwear,2011.0,Casual,Mr.Men Men Printed Black Tshirt,20333.jpg,Tshirts,Black,Summer,73.0,3,color_lover,0.26532692,0,80
10456,Men,Apparel,Topwear,2011.0,Casual,Flying Machine Men Grey Polo Tshirts,10456.jpg,Tshirts,Blue,Fall,46.0,3,budget,0.44698754,0,35
41387,Women,Apparel,Topwear,2012.0,Casual,Wrangler Women Donna Yellow Top,41387.jpg,Tops,Yellow,Summer,83.0,3,budget,0.41276762,0,49
47556,Women,Footwear,Shoes,2012.0,Casual,Portia Women Bronze & Golden Flats,47556.jpg,Heels,Brown,Winter,88.0,5,fashionista,0.022120245,0,3
4858,Men,Apparel,Topwear,2011.0,Sports,Nike Men Utd White Jersey,4858.jpg,Tshirts,White,Summer,81.0,3,fashionista,0.15176658,0,1
46216,Women,Apparel,Dress,2012.0,Casual,AND Women Pink Dress,46216.jpg,Kurtas,Multi,Summer,31.0,4,budget,0.097028024,0,5
1920,Men,Footwear,Shoes,2011.0,Casual,Puma Men Graffiti FX Shoes,1920.jpg,Casual Shoes,White,Summer,53.0,1,fashionista,0.088059336,0,53
17288,Men,Apparel,Topwear,2011.0,Casual,U.S. Polo Assn. Men Solid Red  Polo Tshirt,17288.jpg,Tshirts,Red,Fall,21.0,3,budget,0.59911585,1,3
34788,Men,Footwear,Shoes,2012.0,Casual,Fila Men Higgins Black Shoes,34788.jpg,Casual Shoes,Black,Summer,20.0,0,budget,0.305243,0,53
22080,Women,Apparel,Topwear,2011.0,Ethnic,Vishudh Women Printed Black Kurta,22080.jpg,Kurtas,Black,Fall,31.0,4,fashionista,0.23633853,0,92
31936,Women,Apparel,Topwear,2012.0,Ethnic,Mumbai Slang Women Printed Blue Tunic,31936.jpg,Kurtas,Blue,Summer,74.0,3,budget,0.6572044,1,62
43194,Women,Accessories,Watches,2016.0,Casual,Fastrack Women White Dial Watch NA2049SM09,43194.jpg,Watches,White,Winter,41.0,2,fashionista,0.07757877,0,17
14107,Women,Apparel,Topwear,2011.0,Casual,Flying Machine Women Solid Purple Tops,14107.jpg,Tops,Blue,Fall,61.0,2,color_lover,0.1773638,0,89
47569,Women,Footwear,Shoes,2012.0,Casual,Portia Women Black Flats,47569.jpg,Casual Shoes,Black,Summer,50.0,4,color_lover,0.17289215,0,43
41971,Girls,Apparel,Topwear,2012.0,Casual,Gini and Jony Girls Summer Up Blue Top,41971.jpg,Tops,White,Summer,20.0,1,fashionista,0.07133341,0,33
4776,Women,Apparel,Topwear,2011.0,Sports,ADIDAS Women's  Geo White Yellow T-shirt,4776.jpg,Tshirts,White,Summer,41.0,5,budget,0.03880679,0,73
43755,Women,Accessories,Jewellery,2012.0,Casual,Royal Diadem Set of 2 Golden Bangles,43755.jpg,Bangle,Gold,Winter,60.0,0,color_lover,0.082407035,0,61
58659,Women,Apparel,Topwear,2012.0,Ethnic,ALayna Women Pink Kurta,58659.jpg,Kurtas,Maroon,Summer,77.0,7,fashionista,0.0058672265,0,99
37971,Women,Footwear,Shoes,2012.0,Casual,Clarks Women Un Spire Red Sandals,37971.jpg,Sandals,Red,Summer,76.0,2,budget,0.30285764,0,13
6857,Women,Apparel,Bottomwear,2011.0,Casual,Forever New Women's Animal Stroke Print Black Skirt,6857.jpg,Tops,Black,Summer,49.0,1,fashionista,0.4129855,0,94
35211,Unisex,Accessories,Bags,2013.0,Casual,Wildcraft Unisex Blue & Grey Backpack,35211.jpg,Backpacks,Blue,Summer,58.0,3,budget,0.37416917,0,47
56591,Women,Personal Care,Eyes,2017.0,,Streetwear Hi Lite Eye Shadow,56591.jpg,Eyeshadow,Brown,Spring,37.0,0,color_lover,0.28288835,0,14
14913,Men,Apparel,Topwear,2011.0,Casual,Mr. Men Men Mr. Nonsense Purple Tshirts,14913.jpg,Tshirts,Green,Summer,40.0,1,budget,0.44521925,0,71
21038,Women,Footwear,Shoes,2012.0,Casual,Clarks Women Balti Zing Black Heels,21038.jpg,Heels,Black,Summer,63.0,3,budget,0.39490128,0,77
5766,Women,Apparel,Bottomwear,2011.0,Casual,Jealous 21 Women Black Jegging,5766.jpg,Night suits,Navy Blue,Summer,63.0,3,color_lover,0.13298254,0,86
18817,Men,Accessories,Wallets,2011.0,Formal,Peter England Men Statements Black Wallet,18817.jpg,Wallets,Black,Winter,56.0,1,budget,0.370139,0,61
11280,Men,Apparel,Bottomwear,2011.0,Casual,Wrangler Men Black Texas Jeans,11280.jpg,Track Pants,Black,Fall,35.0,0,color_lover,0.08064701,0,39
26934,Women,Apparel,Dress,2012.0,Casual,Jealous 21 Women Black Dress,26934.jpg,Tops,Black,Summer,57.0,4,color_lover,0.42943016,0,84
7741,Men,Footwear,Shoes,2011.0,Sports,Fila Men's Dna Lite Black Blue Shoe,7741.jpg,Casual Shoes,Black,Summer,51.0,2,budget,0.3702448,0,79
17370,Men,Accessories,Accessories,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,17370.jpg,Accessory Gift Set,Brown,Summer,32.0,1,fashionista,0.046834335,0,81
21919,Women,Apparel,Topwear,2011.0,Ethnic,BIBA Women Printed Red Kurta,21919.jpg,Kurtas,Pink,Fall,40.0,0,fashionista,0.15773039,0,52
37895,Women,Apparel,Bottomwear,2012.0,Casual,Happy Socks Women Striped Tights,37895.jpg,Leggings,Black,Summer,70.0,5,fashionista,0.01804589,0,23
5625,Men,Footwear,Flip Flops,2011.0,Casual,ADIDAS Men's Adi Jumble Grey Flip Flop,5625.jpg,Flip Flops,White,Summer,63.0,5,color_lover,0.045499448,0,25
20389,Women,Accessories,Bags,2015.0,Casual,Baggit Women Praise Taj Brown Handbag,20389.jpg,Handbags,Brown,Summer,58.0,2,color_lover,0.29216945,0,88
5205,Men,Apparel,Topwear,2011.0,Casual,Beatles Men's The Beatles Dark Grey T-shirt,5205.jpg,Tshirts,Black,Summer,74.0,5,color_lover,0.13067453,0,59
40290,Unisex,Footwear,Flip Flops,2012.0,Casual,Warner Bros Kids Unisex Turquoise Blue Flip Flops,40290.jpg,Flip Flops,Pink,Summer,13.0,4,color_lover,0.24250239,0,40
39883,Unisex,Accessories,Bags,2012.0,Casual,ADIDAS Unisex Blue Duffle Bag,39883.jpg,Duffel Bag,Blue,Summer,43.0,6,budget,0.023109833,0,28
28120,Men,Apparel,Innerwear,2016.0,Casual,Jockey MC Men Pack Of Two Blue Briefs 8003,28120.jpg,Briefs,Navy Blue,Summer,61.0,5,budget,0.080520086,0,14
35877,Boys,Apparel,Topwear,2012.0,Casual,Marvel Boys Comics Yellow T-shirt,35877.jpg,Tshirts,Yellow,Summer,24.0,7,color_lover,0.080368236,0,44
33884,Men,Accessories,Watches,2016.0,Casual,Citizen Men Black Dial Eco-Drive Watch,33884.jpg,Watches,Black,Winter,48.0,1,budget,0.33028263,0,64
28653,Men,Footwear,Shoes,2012.0,Sports,Nike Men Air Max Quarter Black Sports Shoes,28653.jpg,Sports Shoes,Black,Fall,12.0,2,budget,0.35048515,0,88
32221,Women,Apparel,Topwear,2012.0,Ethnic,Fabindia Women Purple & Blue Striped Kurta,32221.jpg,Kurtas,Blue,Fall,39.0,4,budget,0.37464517,0,70
4169,Unisex,Footwear,Shoes,2011.0,Sports,Reebok Unisex Trail Mudslinger Black Shoe,4169.jpg,Sports Shoes,Black,Summer,37.0,2,color_lover,0.3563015,0,8
11866,Men,Footwear,Flip Flops,2011.0,Casual,Playboy Men Casual Red Slippers,11866.jpg,Flip Flops,Red,Summer,36.0,2,color_lover,0.39562133,0,87
19783,Men,Apparel,Topwear,2016.0,Casual,U.S. Polo Assn. Men Solid Orange Tshirt,19783.jpg,Tshirts,Red,Fall,27.0,0,color_lover,0.07232686,0,0
27320,Women,Personal Care,Fragrance,2017.0,Casual,ADIDAS Women Free Emotion Perfume,27320.jpg,Perfume and Body Mist,White,Spring,57.0,1,color_lover,0.11770718,0,7
57077,Women,Apparel,Bottomwear,2012.0,Casual,Elle Women Light Blue Jeans,57077.jpg,Jeans,Blue,Summer,61.0,3,budget,0.22927451,0,87
52782,Women,Accessories,Wallets,2012.0,Casual,Fiorelli Women Red Wallet,52782.jpg,Wallets,Red,Summer,44.0,7,fashionista,0.005763399,0,62
17410,Men,Footwear,Shoes,2011.0,Sports,Lotto Men Atlantica White Sports Shoe,17410.jpg,Sports Shoes,White,Fall,77.0,4,color_lover,0.060044304,0,10
28946,Women,Apparel,Topwear,2012.0,Ethnic,BIBA OUTLET Women White Tunic,28946.jpg,Tops,Pink,Fall,40.0,5,budget,0.05574617,0,80
43856,Women,Accessories,Jewellery,2012.0,Ethnic,Royal Diadem Green & White Earrings,43856.jpg,Earrings,Silver,Fall,26.0,2,budget,0.30938974,0,7
1847,Men,Apparel,Topwear,2011.0,Casual,Inkfruit Mens Messy T-shirt,1847.jpg,Tshirts,Black,Summer,66.0,2,budget,0.52569,1,34
37089,Women,Accessories,Bags,2012.0,Casual,Lino Perros Women Brown Handbag,37089.jpg,Handbags,Beige,Summer,37.0,7,fashionista,0.05144721,0,34
28782,Women,Apparel,Innerwear,2015.0,Casual,Enamor Women Pack of 2 Briefs,28782.jpg,Briefs,Blue,Winter,34.0,2,color_lover,0.132382,0,32
29022,Men,Apparel,Topwear,2012.0,Casual,ADIDAS Men Aess Crew White T-shirt,29022.jpg,Tshirts,Blue,Fall,79.0,4,fashionista,0.143388,0,4
30705,Women,Accessories,Bags,2012.0,Casual,Fabindia Women Orange Silk Purse,30705.jpg,Handbags,Orange,Fall,85.0,3,fashionista,0.034893684,0,40
15022,Men,Apparel,Bottomwear,2011.0,Sports,ADIDAS Men Solid Grey Track Pants,15022.jpg,Track Pants,Blue,Fall,31.0,4,color_lover,0.7370891,1,27
44534,Men,Footwear,Sandal,2012.0,Casual,Coolers Men White Sandals,44534.jpg,Casual Shoes,White,Summer,41.0,4,fashionista,0.013053978,0,6
14430,Women,Footwear,Shoes,2012.0,Casual,Enroute Women Casual Black Casual Shoes,14430.jpg,Casual Shoes,Black,Summer,10.0,6,fashionista,0.01619209,0,72
55541,Women,Personal Care,Makeup,2017.0,Casual,Revlon Colorstay Black Eyeliner,55541.jpg,Kajal and Eyeliner,Blue,Spring,54.0,3,fashionista,0.49119854,0,71
12489,Men,Footwear,Sandal,2013.0,Casual,Clarks Men Leather Brown Sandals,12489.jpg,Casual Shoes,Brown,Summer,62.0,0,color_lover,0.46956313,0,11
31132,Men,Apparel,Topwear,2012.0,Formal,John Miller Men Check Blue Shirt,31132.jpg,Shirts,Blue,Fall,92.0,4,color_lover,0.18467107,0,33
2347,Men,Apparel,Topwear,2010.0,Casual,Reebok Men White Contrasts T-shirt,2347.jpg,Tshirts,White,Summer,53.0,6,fashionista,0.012745146,0,32
58888,Men,Accessories,Ties,2012.0,Casual,Hakashi Men White Tie,58888.jpg,Ties,White,Summer,72.0,1,budget,0.5361297,1,47
23448,Women,Apparel,Topwear,2011.0,Casual,Satya Paul Women Multi Coloured Printed Tunic,23448.jpg,Nightdress,White,Summer,68.0,2,budget,0.29091176,0,22
9870,Men,Apparel,Topwear,2011.0,Casual,Status Quo Men Stripes Pink Tshirts,9870.jpg,Tshirts,Red,Fall,29.0,4,fashionista,0.19787756,0,61
49615,Women,Footwear,Shoes,2015.0,Casual,Catwalk Women Brown Heels,49615.jpg,Heels,Black,Fall,32.0,2,color_lover,0.11927803,0,87
10884,Men,Apparel,Topwear,2011.0,Casual,Wrangler Men Grey Glow In Dark T-shirt,10884.jpg,Tshirts,Black,Summer,73.0,2,budget,0.5956253,1,36
19314,Unisex,Accessories,Bags,2011.0,Casual,Nike Unisex Graphic North Classic Red Backpack,19314.jpg,Backpacks,Blue,Summer,40.0,2,fashionista,0.26576382,0,98
54890,Women,Apparel,Topwear,2012.0,Casual,Do u speak green Women Green Top,54890.jpg,Tshirts,White,Summer,68.0,3,budget,0.3413895,0,43
48489,Women,Apparel,Topwear,2012.0,Casual,French Connection Women Peach Top,48489.jpg,Tops,Grey,Summer,44.0,3,color_lover,0.16356261,0,85
43177,Men,Accessories,Watches,2016.0,Casual,Fastrack Men Black Dial Watch,43177.jpg,Watches,Black,Winter,58.0,5,color_lover,0.008303452,0,90
18959,Women,Apparel,Topwear,2011.0,Casual,United Colors of Benetton Women Solid Blue Sweater,18959.jpg,Tops,Blue,Fall,32.0,4,color_lover,0.72292614,1,34
51699,Unisex,Accessories,Eyewear,2016.0,Casual,Van Heusen Unisex Blue Aviator Sunglasses VH217-C2,51699.jpg,Sunglasses,Black,Winter,46.0,1,color_lover,0.07890845,0,64
58110,Women,Accessories,Jewellery,2012.0,Casual,Rreverie Silver Earrings,58110.jpg,Earrings,Silver,Fall,45.0,4,color_lover,0.023903977,0,98
40934,Boys,Apparel,Topwear,2012.0,Casual,Gini and JonyBoys Around the World White Shirts,40934.jpg,Tshirts,White,Summer,40.0,2,budget,0.45928746,0,46
7647,Men,Apparel,Topwear,2011.0,Sports,Puma Men's Ducati One Ups Black T-shirt,7647.jpg,Tshirts,Black,Summer,44.0,1,fashionista,0.38103145,0,77
1852,Men,Apparel,Topwear,2011.0,Casual,Inkfruit Men Ride It Or Die T-shirt,1852.jpg,Tshirts,Blue,Summer,39.0,2,fashionista,0.35928205,0,2
42408,Men,Apparel,Innerwear,2016.0,Casual,Basics Men Black Trunk Brief,42408.jpg,Trunk,Red,Summer,11.0,2,budget,0.3643262,0,0
18370,Men,Apparel,Innerwear,2016.0,Casual,Undercolors of Benetton Men Pack Of 3 Innerwear T-Shirts,18370.jpg,Tshirts,Black,Fall,62.0,6,budget,0.20128313,0,4
55425,Women,Personal Care,Lips,2017.0,Casual,Revlon Moisture Stay Nutty Lipstick 32,55425.jpg,Lip Gloss,Brown,Spring,41.0,0,color_lover,0.15809615,0,89
30785,Men,Apparel,Topwear,2012.0,Ethnic,Fabindia Men Printed Blue Kurta,30785.jpg,Shirts,Blue,Fall,68.0,3,fashionista,0.18884496,0,13
5559,Men,Apparel,Topwear,2011.0,Casual,Reebok Men Reversible Blue & Yellow Jacket,5559.jpg,Tshirts,Orange,Summer,65.0,1,budget,0.41266704,0,26
23921,Women,Footwear,Shoes,2011.0,Casual,Fila Women Cortez Grey Casual Shoes,23921.jpg,Casual Shoes,White,Fall,46.0,3,color_lover,0.06400239,0,8
15463,Men,Apparel,Bottomwear,2011.0,Sports,Puma Men Graphic Logo Blue Tracksuits,15463.jpg,Tracksuits,Blue,Fall,33.0,4,color_lover,0.6952716,1,78
7194,Women,Apparel,Topwear,2011.0,Casual,Jealous 21 Women's BFF Printed White Top,7194.jpg,Tshirts,White,Summer,43.0,3,fashionista,0.087543644,0,14
47327,Women,Accessories,Bags,2015.0,Casual,Baggit Women Brown Bag,47327.jpg,Handbags,Brown,Summer,45.0,3,fashionista,0.024413394,0,89
14282,Women,Footwear,Shoes,2011.0,Sports,Timberland Women Tma All Mtn Low Sports Shoe,14282.jpg,Casual Shoes,Brown,Summer,63.0,2,fashionista,0.07566256,0,41
55862,Women,Personal Care,Nails,2017.0,Casual,Colorbar Rose Quartz Nail Lacquer 92,55862.jpg,Nail Polish,Pink,Spring,86.0,1,budget,0.42223582,0,76
2702,Girls,Apparel,Topwear,2011.0,Casual,Disney Kids Girl's Blue Check Kidswear Shirt,2702.jpg,Tshirts,Blue,Summer,52.0,5,fashionista,0.074489675,0,50
48562,Men,Accessories,Jewellery,2013.0,Casual,Revv Men Steel Bracelet,48562.jpg,Bracelet,Steel,Winter,69.0,3,color_lover,0.08273714,0,62
2825,Men,Footwear,Shoes,2012.0,Formal,Lee Cooper Men Leather Semi Formal Black Shoe,2825.jpg,Casual Shoes,Black,Summer,33.0,2,budget,0.4660892,0,95
16819,Men,Apparel,Bottomwear,2011.0,Casual,Locomotive Men Washed Blue Jeans,16819.jpg,Jeans,Blue,Fall,78.0,4,fashionista,0.059547693,0,51
