id,gender,masterCategory,subCategory,year,usage,productDisplayName,filename,articleType,baseColour,season
30729,Girls,Apparel,Bottomwear,2012.0,Ethnic,Fabindia Girls Printed Blue Salwar,30729.jpg,Tops,Blue,Summer
39499,Men,Apparel,Topwear,2012.0,Casual,Wildcraft Men Yellow T-shirt,39499.jpg,Tshirts,Green,Summer
3329,Men,Apparel,Topwear,2011.0,Sports,KXIP Boys Fangear Tee,3329.jpg,Tshirts,Red,Summer
10761,Unisex,Footwear,Flip Flops,2012.0,Casual,Disney Unisex Kids Basic Red Flip Flops,10761.jpg,Flip Flops,Red,Summer
12701,Women,Footwear,Shoes,2011.0,Sports,Nike Women Lunarfly Blue Sports Shoes,12701.jpg,Sports Shoes,Blue,Summer
39462,Women,Apparel,Topwear,2012.0,Ethnic,Diva Women Brown Kurta,39462.jpg,Kurtas,Black,Summer
48897,Women,Accessories,Jewellery,2013.0,Casual,Lucera Women Silver Pendant with Chain,48897.jpg,Ring,Steel,Summer
49642,Women,Apparel,Topwear,2012.0,Casual,Mineral Women Cream Tunic,49642.jpg,Kurtas,Cream,Summer
32515,Men,Footwear,Sandal,2013.0,Casual,Franco Leone Men Brown Sandals,32515.jpg,Casual Shoes,Brown,Winter
3400,Women,Accessories,Bags,2015.0,Casual,Murcia Women Brown Hobo Handbag,3400.jpg,Handbags,Green,Summer
31847,Women,Accessories,Watches,2016.0,Casual,Titan Women Raga Mother Of Pearl Dial Watch,31847.jpg,Watches,Gold,Winter
40972,Girls,Apparel,Topwear,2012.0,Casual,Palm Tree Girls Knits White Tops,40972.jpg,Tops,White,Summer
6704,Women,Accessories,Socks,2011.0,Sports,Nike Women's Nsw Wmns Ctn White Pink Socks,6704.jpg,Socks,White,Summer
44148,Men,Personal Care,Fragrance,2017.0,Casual,Nike Fragrances Men Casual Deo,44148.jpg,Deodorant,Green,Spring
9717,Men,Footwear,Sandal,2015.0,Casual,Hush Puppies Men Decent Black Sandals,9717.jpg,Casual Shoes,Black,Summer
29267,Men,Footwear,Shoes,2012.0,Sports,ADIDAS Men Predito Blue Sports Shoes,29267.jpg,Casual Shoes,Green,Summer
52434,Women,Apparel,Loungewear and Nightwear,2017.0,Casual,Red Rose Women Purple Nightdress,52434.jpg,Nightdress,Green,Summer
43768,Women,Accessories,Jewellery,2012.0,Casual,Royal Diadem Black Earrings,43768.jpg,Earrings,Gold,Summer
4817,Men,Apparel,Topwear,2011.0,Sports,ADIDAS Men's AP ST Black T-shirt,4817.jpg,Tshirts,Black,Summer
58914,Men,Accessories,Ties,2012.0,Casual,Hakashi Men Lavender Silk Tie,58914.jpg,Ties,Blue,Summer
35439,Boys,Apparel,Topwear,2012.0,Casual,Doodle Boys Check Black Shirt,35439.jpg,Shirts,Blue,Summer
46688,Men,Personal Care,Fragrance,2017.0,Casual,Rasasi Men Royale Perfume,46688.jpg,Perfume and Body Mist,White,Summer
6900,Men,Footwear,Shoes,2011.0,Casual,Puma Men's Lifestyle Canvas Blue Shoe,6900.jpg,Casual Shoes,White,Summer
40648,Women,Apparel,Topwear,2012.0,Ethnic,Span Women Purple & Blue Kurta,40648.jpg,Kurtas,Red,Summer
3478,Men,Apparel,Topwear,2010.0,Sports,ADIDAS Men's White Universal Red Stripe T-shirt,3478.jpg,Tshirts,White,Summer
54973,Women,Apparel,Dress,2012.0,Casual,Femella Women Off White Dress,54973.jpg,Dresses,White,Summer
37945,Women,Apparel,Topwear,2012.0,Casual,Mineral Women Soild White Tunic,37945.jpg,Tops,White,Summer
48741,Men,Accessories,Jewellery,2012.0,Casual,Revv Men Steel Bangle,48741.jpg,Earrings,Steel,Winter
53981,Women,Accessories,Bags,2012.0,Casual,Kiara Women Burnt Yellow Sling Bag,53981.jpg,Handbags,Brown,Summer
5261,Unisex,Accessories,Bags,2017.0,Casual,Wildcraft Unisex Orange & Grey Printed Laptop Backpack,5261.jpg,Backpacks,Black,Summer
15658,Unisex,Free Items,Free Gifts,2016.0,Casual,Belkin Unisex Simple Messenger Blue Handbags,15658.jpg,Laptop Bag,Blue,Winter
35982,Women,Apparel,Topwear,2012.0,Casual,Flying Machine Women Grey T-shirt,35982.jpg,Tops,White,Summer
2208,Men,Footwear,Flip Flops,2011.0,Casual,Puma Mens Drifter Black Flip Flop,2208.jpg,Flats,Black,Summer
2939,Women,Apparel,Topwear,2010.0,Casual,DUSG Women's Play Lady Organic Blue T-shirt,2939.jpg,Tops,Grey,Fall
23241,Women,Apparel,Topwear,2011.0,Ethnic,Aneri Women Juhi Blue Kurti,23241.jpg,Kurtas,Multi,Summer
4383,Men,Apparel,Topwear,2011.0,Casual,Batman Men's Comics Foil Dark Blue T-shirt,4383.jpg,Tshirts,Blue,Summer
52401,Women,Apparel,Loungewear and Nightwear,2015.0,Casual,Red Rose Women Blue Nightdress,52401.jpg,Nightdress,White,Summer
34097,Boys,Apparel,Topwear,2012.0,Casual,Doodle Boys Printed Green T-shirt,34097.jpg,Tshirts,Green,Summer
43059,Men,Apparel,Topwear,2012.0,Casual,Nike Men Blue FFF Football T-shirt,43059.jpg,Tshirts,Blue,Summer
26716,Men,Apparel,Topwear,2012.0,Casual,Puma Men Large Logo Red T-shirt,26716.jpg,Tshirts,Red,Summer
50622,Men,Apparel,Innerwear,2016.0,Casual,Chromozome Men White Brief,50622.jpg,Briefs,White,Summer
6294,Men,Apparel,Topwear,2011.0,Casual,UCB Men's Super Star Print Green T-shirt,6294.jpg,Tshirts,Blue,Summer
41467,Women,Footwear,Shoes,2013.0,Casual,Carlton London Women Brown Solid Suede Ballerinas,41467.jpg,Casual Shoes,Black,Winter
47266,Men,Apparel,Innerwear,2016.0,Casual,FCUK Underwear Men White Striped Brief,47266.jpg,Briefs,White,Summer
47232,Men,Footwear,Sandal,2012.0,Casual,Franco Leone Men Brown Sandals,47232.jpg,Sandals,Brown,Summer
20333,Men,Apparel,Topwear,2011.0,Casual,Mr.Men Men Printed Black Tshirt,20333.jpg,Tshirts,Black,Summer
10456,Men,Apparel,Topwear,2011.0,Casual,Flying Machine Men Grey Polo Tshirts,10456.jpg,Tshirts,Blue,Fall
41387,Women,Apparel,Topwear,2012.0,Casual,Wrangler Women Donna Yellow Top,41387.jpg,Tops,Yellow,Summer
47556,Women,Footwear,Shoes,2012.0,Casual,Portia Women Bronze & Golden Flats,47556.jpg,Heels,Brown,Winter
4858,Men,Apparel,Topwear,2011.0,Sports,Nike Men Utd White Jersey,4858.jpg,Tshirts,White,Summer
46216,Women,Apparel,Dress,2012.0,Casual,AND Women Pink Dress,46216.jpg,Kurtas,Multi,Summer
1920,Men,Footwear,Shoes,2011.0,Casual,Puma Men Graffiti FX Shoes,1920.jpg,Casual Shoes,White,Summer
17288,Men,Apparel,Topwear,2011.0,Casual,U.S. Polo Assn. Men Solid Red  Polo Tshirt,17288.jpg,Tshirts,Red,Fall
34788,Men,Footwear,Shoes,2012.0,Casual,Fila Men Higgins Black Shoes,34788.jpg,Casual Shoes,Black,Summer
22080,Women,Apparel,Topwear,2011.0,Ethnic,Vishudh Women Printed Black Kurta,22080.jpg,Kurtas,Black,Fall
31936,Women,Apparel,Topwear,2012.0,Ethnic,Mumbai Slang Women Printed Blue Tunic,31936.jpg,Kurtas,Blue,Summer
43194,Women,Accessories,Watches,2016.0,Casual,Fastrack Women White Dial Watch NA2049SM09,43194.jpg,Watches,White,Winter
14107,Women,Apparel,Topwear,2011.0,Casual,Flying Machine Women Solid Purple Tops,14107.jpg,Tops,Blue,Fall
47569,Women,Footwear,Shoes,2012.0,Casual,Portia Women Black Flats,47569.jpg,Casual Shoes,Black,Summer
41971,Girls,Apparel,Topwear,2012.0,Casual,Gini and Jony Girls Summer Up Blue Top,41971.jpg,Tops,White,Summer
4776,Women,Apparel,Topwear,2011.0,Sports,ADIDAS Women's  Geo White Yellow T-shirt,4776.jpg,Tshirts,White,Summer
43755,Women,Accessories,Jewellery,2012.0,Casual,Royal Diadem Set of 2 Golden Bangles,43755.jpg,Bangle,Gold,Winter
58659,Women,Apparel,Topwear,2012.0,Ethnic,ALayna Women Pink Kurta,58659.jpg,Kurtas,Maroon,Summer
37971,Women,Footwear,Shoes,2012.0,Casual,Clarks Women Un Spire Red Sandals,37971.jpg,Sandals,Red,Summer
6857,Women,Apparel,Bottomwear,2011.0,Casual,Forever New Women's Animal Stroke Print Black Skirt,6857.jpg,Tops,Black,Summer
35211,Unisex,Accessories,Bags,2013.0,Casual,Wildcraft Unisex Blue & Grey Backpack,35211.jpg,Backpacks,Blue,Summer
56591,Women,Personal Care,Eyes,2017.0,,Streetwear Hi Lite Eye Shadow,56591.jpg,Eyeshadow,Brown,Spring
14913,Men,Apparel,Topwear,2011.0,Casual,Mr. Men Men Mr. Nonsense Purple Tshirts,14913.jpg,Tshirts,Green,Summer
21038,Women,Footwear,Shoes,2012.0,Casual,Clarks Women Balti Zing Black Heels,21038.jpg,Heels,Black,Summer
5766,Women,Apparel,Bottomwear,2011.0,Casual,Jealous 21 Women Black Jegging,5766.jpg,Night suits,Navy Blue,Summer
18817,Men,Accessories,Wallets,2011.0,Formal,Peter England Men Statements Black Wallet,18817.jpg,Wallets,Black,Winter
11280,Men,Apparel,Bottomwear,2011.0,Casual,Wrangler Men Black Texas Jeans,11280.jpg,Track Pants,Black,Fall
26934,Women,Apparel,Dress,2012.0,Casual,Jealous 21 Women Black Dress,26934.jpg,Tops,Black,Summer
7741,Men,Footwear,Shoes,2011.0,Sports,Fila Men's Dna Lite Black Blue Shoe,7741.jpg,Casual Shoes,Black,Summer
17370,Men,Accessories,Accessories,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,17370.jpg,Accessory Gift Set,Brown,Summer
21919,Women,Apparel,Topwear,2011.0,Ethnic,BIBA Women Printed Red Kurta,21919.jpg,Kurtas,Pink,Fall
37895,Women,Apparel,Bottomwear,2012.0,Casual,Happy Socks Women Striped Tights,37895.jpg,Leggings,Black,Summer
5625,Men,Footwear,Flip Flops,2011.0,Casual,ADIDAS Men's Adi Jumble Grey Flip Flop,5625.jpg,Flip Flops,White,Summer
20389,Women,Accessories,Bags,2015.0,Casual,Baggit Women Praise Taj Brown Handbag,20389.jpg,Handbags,Brown,Summer
5205,Men,Apparel,Topwear,2011.0,Casual,Beatles Men's The Beatles Dark Grey T-shirt,5205.jpg,Tshirts,Black,Summer
40290,Unisex,Footwear,Flip Flops,2012.0,Casual,Warner Bros Kids Unisex Turquoise Blue Flip Flops,40290.jpg,Flip Flops,Pink,Summer
39883,Unisex,Accessories,Bags,2012.0,Casual,ADIDAS Unisex Blue Duffle Bag,39883.jpg,Duffel Bag,Blue,Summer
28120,Men,Apparel,Innerwear,2016.0,Casual,Jockey MC Men Pack Of Two Blue Briefs 8003,28120.jpg,Briefs,Navy Blue,Summer
35877,Boys,Apparel,Topwear,2012.0,Casual,Marvel Boys Comics Yellow T-shirt,35877.jpg,Tshirts,Yellow,Summer
33884,Men,Accessories,Watches,2016.0,Casual,Citizen Men Black Dial Eco-Drive Watch,33884.jpg,Watches,Black,Winter
28653,Men,Footwear,Shoes,2012.0,Sports,Nike Men Air Max Quarter Black Sports Shoes,28653.jpg,Sports Shoes,Black,Fall
32221,Women,Apparel,Topwear,2012.0,Ethnic,Fabindia Women Purple & Blue Striped Kurta,32221.jpg,Kurtas,Blue,Fall
4169,Unisex,Footwear,Shoes,2011.0,Sports,Reebok Unisex Trail Mudslinger Black Shoe,4169.jpg,Sports Shoes,Black,Summer
11866,Men,Footwear,Flip Flops,2011.0,Casual,Playboy Men Casual Red Slippers,11866.jpg,Flip Flops,Red,Summer
19783,Men,Apparel,Topwear,2016.0,Casual,U.S. Polo Assn. Men Solid Orange Tshirt,19783.jpg,Tshirts,Red,Fall
27320,Women,Personal Care,Fragrance,2017.0,Casual,ADIDAS Women Free Emotion Perfume,27320.jpg,Perfume and Body Mist,White,Spring
57077,Women,Apparel,Bottomwear,2012.0,Casual,Elle Women Light Blue Jeans,57077.jpg,Jeans,Blue,Summer
52782,Women,Accessories,Wallets,2012.0,Casual,Fiorelli Women Red Wallet,52782.jpg,Wallets,Red,Summer
17410,Men,Footwear,Shoes,2011.0,Sports,Lotto Men Atlantica White Sports Shoe,17410.jpg,Sports Shoes,White,Fall
28946,Women,Apparel,Topwear,2012.0,Ethnic,BIBA OUTLET Women White Tunic,28946.jpg,Tops,Pink,Fall
43856,Women,Accessories,Jewellery,2012.0,Ethnic,Royal Diadem Green & White Earrings,43856.jpg,Earrings,Silver,Fall
1847,Men,Apparel,Topwear,2011.0,Casual,Inkfruit Mens Messy T-shirt,1847.jpg,Tshirts,Black,Summer
37089,Women,Accessories,Bags,2012.0,Casual,Lino Perros Women Brown Handbag,37089.jpg,Handbags,Beige,Summer
28782,Women,Apparel,Innerwear,2015.0,Casual,Enamor Women Pack of 2 Briefs,28782.jpg,Briefs,Blue,Winter
29022,Men,Apparel,Topwear,2012.0,Casual,ADIDAS Men Aess Crew White T-shirt,29022.jpg,Tshirts,Blue,Fall
30705,Women,Accessories,Bags,2012.0,Casual,Fabindia Women Orange Silk Purse,30705.jpg,Handbags,Orange,Fall
15022,Men,Apparel,Bottomwear,2011.0,Sports,ADIDAS Men Solid Grey Track Pants,15022.jpg,Track Pants,Blue,Fall
44534,Men,Footwear,Sandal,2012.0,Casual,Coolers Men White Sandals,44534.jpg,Casual Shoes,White,Summer
14430,Women,Footwear,Shoes,2012.0,Casual,Enroute Women Casual Black Casual Shoes,14430.jpg,Casual Shoes,Black,Summer
55541,Women,Personal Care,Makeup,2017.0,Casual,Revlon Colorstay Black Eyeliner,55541.jpg,Kajal and Eyeliner,Blue,Spring
12489,Men,Footwear,Sandal,2013.0,Casual,Clarks Men Leather Brown Sandals,12489.jpg,Casual Shoes,Brown,Summer
31132,Men,Apparel,Topwear,2012.0,Formal,John Miller Men Check Blue Shirt,31132.jpg,Shirts,Blue,Fall
2347,Men,Apparel,Topwear,2010.0,Casual,Reebok Men White Contrasts T-shirt,2347.jpg,Tshirts,White,Summer
58888,Men,Accessories,Ties,2012.0,Casual,Hakashi Men White Tie,58888.jpg,Ties,White,Summer
23448,Women,Apparel,Topwear,2011.0,Casual,Satya Paul Women Multi Coloured Printed Tunic,23448.jpg,Nightdress,White,Summer
9870,Men,Apparel,Topwear,2011.0,Casual,Status Quo Men Stripes Pink Tshirts,9870.jpg,Tshirts,Red,Fall
49615,Women,Footwear,Shoes,2015.0,Casual,Catwalk Women Brown Heels,49615.jpg,Heels,Black,Fall
10884,Men,Apparel,Topwear,2011.0,Casual,Wrangler Men Grey Glow In Dark T-shirt,10884.jpg,Tshirts,Black,Summer
19314,Unisex,Accessories,Bags,2011.0,Casual,Nike Unisex Graphic North Classic Red Backpack,19314.jpg,Backpacks,Blue,Summer
54890,Women,Apparel,Topwear,2012.0,Casual,Do u speak green Women Green Top,54890.jpg,Tshirts,White,Summer
48489,Women,Apparel,Topwear,2012.0,Casual,French Connection Women Peach Top,48489.jpg,Tops,Grey,Summer
43177,Men,Accessories,Watches,2016.0,Casual,Fastrack Men Black Dial Watch,43177.jpg,Watches,Black,Winter
18959,Women,Apparel,Topwear,2011.0,Casual,United Colors of Benetton Women Solid Blue Sweater,18959.jpg,Tops,Blue,Fall
51699,Unisex,Accessories,Eyewear,2016.0,Casual,Van Heusen Unisex Blue Aviator Sunglasses VH217-C2,51699.jpg,Sunglasses,Black,Winter
58110,Women,Accessories,Jewellery,2012.0,Casual,Rreverie Silver Earrings,58110.jpg,Earrings,Silver,Fall
40934,Boys,Apparel,Topwear,2012.0,Casual,Gini and JonyBoys Around the World White Shirts,40934.jpg,Tshirts,White,Summer
7647,Men,Apparel,Topwear,2011.0,Sports,Puma Men's Ducati One Ups Black T-shirt,7647.jpg,Tshirts,Black,Summer
1852,Men,Apparel,Topwear,2011.0,Casual,Inkfruit Men Ride It Or Die T-shirt,1852.jpg,Tshirts,Blue,Summer
42408,Men,Apparel,Innerwear,2016.0,Casual,Basics Men Black Trunk Brief,42408.jpg,Trunk,Red,Summer
18370,Men,Apparel,Innerwear,2016.0,Casual,Undercolors of Benetton Men Pack Of 3 Innerwear T-Shirts,18370.jpg,Tshirts,Black,Fall
55425,Women,Personal Care,Lips,2017.0,Casual,Revlon Moisture Stay Nutty Lipstick 32,55425.jpg,Lip Gloss,Brown,Spring
30785,Men,Apparel,Topwear,2012.0,Ethnic,Fabindia Men Printed Blue Kurta,30785.jpg,Shirts,Blue,Fall
5559,Men,Apparel,Topwear,2011.0,Casual,Reebok Men Reversible Blue & Yellow Jacket,5559.jpg,Tshirts,Orange,Summer
23921,Women,Footwear,Shoes,2011.0,Casual,Fila Women Cortez Grey Casual Shoes,23921.jpg,Casual Shoes,White,Fall
15463,Men,Apparel,Bottomwear,2011.0,Sports,Puma Men Graphic Logo Blue Tracksuits,15463.jpg,Tracksuits,Blue,Fall
7194,Women,Apparel,Topwear,2011.0,Casual,Jealous 21 Women's BFF Printed White Top,7194.jpg,Tshirts,White,Summer
47327,Women,Accessories,Bags,2015.0,Casual,Baggit Women Brown Bag,47327.jpg,Handbags,Brown,Summer
14282,Women,Footwear,Shoes,2011.0,Sports,Timberland Women Tma All Mtn Low Sports Shoe,14282.jpg,Casual Shoes,Brown,Summer
55862,Women,Personal Care,Nails,2017.0,Casual,Colorbar Rose Quartz Nail Lacquer 92,55862.jpg,Nail Polish,Pink,Spring
2702,Girls,Apparel,Topwear,2011.0,Casual,Disney Kids Girl's Blue Check Kidswear Shirt,2702.jpg,Tshirts,Blue,Summer
48562,Men,Accessories,Jewellery,2013.0,Casual,Revv Men Steel Bracelet,48562.jpg,Bracelet,Steel,Winter
2825,Men,Footwear,Shoes,2012.0,Formal,Lee Cooper Men Leather Semi Formal Black Shoe,2825.jpg,Casual Shoes,Black,Summer
16819,Men,Apparel,Bottomwear,2011.0,Casual,Locomotive Men Washed Blue Jeans,16819.jpg,Jeans,Blue,Fall
55196,Women,Personal Care,Nails,2017.0,Casual,Lakme Absolute Fast & Fabulous Gold Shimmer Nail Polish 01,55196.jpg,Nail Polish,White,Spring
21696,Women,Accessories,Watches,2016.0,Casual,Fossil Women Green Dial Watch ES2951,21696.jpg,Watches,Black,Winter
37569,Girls,Apparel,Topwear,2012.0,Casual,Madagascar3 Infant Girls Light Green T-Shirt,37569.jpg,Tshirts,Yellow,Summer
54514,Men,Footwear,Shoes,2012.0,Casual,F Sports Men White Rodeo Shoes,54514.jpg,Casual Shoes,White,Summer
42022,Men,Footwear,Flip Flops,2012.0,Casual,ADIDAS Men AdiCliff Black Flip Flops,42022.jpg,Flip Flops,Black,Summer
35712,Men,Footwear,Shoes,2012.0,Sports,Nike Men Dual Fusion TR III Grey Sports Shoes,35712.jpg,Sports Shoes,White,Summer
11879,Men,Footwear,Shoes,2013.0,Formal,Franco Leone Men Formal Black Formal Shoes,11879.jpg,Formal Shoes,Brown,Winter
26806,Men,Apparel,Bottomwear,2013.0,Formal,Arrow Men Charcoal Flat Front Trousers,26806.jpg,Trousers,Blue,Fall
21914,Women,Apparel,Apparel Set,2011.0,Ethnic,Biba Women Off-White & Brown Printed Churidar Kurta with Dupatta,21914.jpg,Tops,White,Summer
49612,Women,Footwear,Shoes,2015.0,Casual,Catwalk Women Yellow  Flats,49612.jpg,Heels,Brown,Winter
43592,Girls,Apparel,Topwear,2012.0,Casual,Gini and Jony Girls Polo Striped Pink T-shirt,43592.jpg,Tshirts,Red,Summer
6667,Women,Footwear,Shoes,2011.0,Sports,Nike Women's Ballista II Black Silver Shoe,6667.jpg,Sports Shoes,White,Fall
39753,Boys,Apparel,Bottomwear,2012.0,Casual,Gini Jony Boys Khaki Trousers,39753.jpg,Jeans,Blue,Summer
56020,Women,Personal Care,Lips,2017.0,Casual,Colorbar Soft Touch Felin Lipstick 036,56020.jpg,Lipstick,Brown,Spring
18167,Girls,Apparel,Dress,2011.0,Casual,Doodle Kids Girls Party Frock Purple Dress,18167.jpg,Dresses,Pink,Fall
8532,Women,Footwear,Shoes,2011.0,Sports,Nike Women Nike Womens Ballista II Silver Sports Shoes,8532.jpg,Sports Shoes,White,Fall
6571,Men,Apparel,Topwear,2011.0,Casual,Inkfruit Men's Barcode Lemon Yellow T-shirt,6571.jpg,Tshirts,White,Fall
3205,Men,Apparel,Topwear,2011.0,Casual,Tantra Men's Instant Grey T-shirt,3205.jpg,Tshirts,Blue,Fall
29243,Men,Footwear,Shoes,2012.0,Sports,ADIDAS Men 22Yds Trainer2 White Sports Shoes,29243.jpg,Sports Shoes,White,Fall
15501,Women,Footwear,Shoes,2011.0,Casual,Carlton London Women Casual Black Casual Shoes,15501.jpg,Casual Shoes,Black,Fall
15615,Men,Apparel,Topwear,2011.0,Sports,Nike Men Running Red Jerseys,15615.jpg,Tshirts,Red,Summer
29131,Women,Accessories,Eyewear,2016.0,Casual,Vogue Women Black Sunglasses,29131.jpg,Sunglasses,Black,Winter
46676,Women,Personal Care,Fragrance,2017.0,Casual,Rasasi Women Pack of 3 Perfumes,46676.jpg,Perfume and Body Mist,Pink,Spring
20324,Women,Apparel,Topwear,2011.0,Ethnic,Mother Earth Women Printed White Kurta,20324.jpg,Kurtas,White,Fall
38191,Unisex,Accessories,Eyewear,2016.0,Casual,Polaroid Unisex Sunglasses,38191.jpg,Sunglasses,Black,Winter
25064,Men,Accessories,Accessories,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set,25064.jpg,Accessory Gift Set,Brown,Summer
39037,Men,Accessories,Cufflinks,2012.0,Formal,Belmonte Men Steel Bright Assorted Cufflinks,39037.jpg,Cufflinks,White,Winter
34006,Girls,Apparel,Topwear,2012.0,Casual,Gini and Jony Girls Purple Top,34006.jpg,Tops,Black,Summer
5411,Women,Footwear,Shoes,2011.0,Sports,Tribord To 100 Basic Lady Ss11,5411.jpg,Flip Flops,Black,Summer
36657,Women,Accessories,Bags,2012.0,Casual,Paridhan Women Multi Coloured Purse,36657.jpg,Wallets,Brown,Summer
58720,Men,Apparel,Topwear,2012.0,Casual,Puma Men White T-shirt,58720.jpg,Tshirts,White,Summer
57759,Women,Personal Care,Skin Care,2017.0,,Lotus Herbals Jojobawash Face Wash,57759.jpg,Face Wash and Cleanser,White,Spring
22295,Women,Footwear,Shoes,2012.0,Casual,Inc. 5 Women Casual Black Flats,22295.jpg,Flip Flops,Blue,Summer
40525,Men,Accessories,Watches,2016.0,Casual,Titan Men Black Dial Watch,40525.jpg,Watches,Black,Winter
53764,Men,Apparel,Topwear,2012.0,Casual,Puma Men Blue Striped T-shirt,53764.jpg,Tshirts,Blue,Fall
57359,Women,Apparel,Innerwear,2015.0,Casual,Amante Black Printed Full-Coverage Bra BGSW01,57359.jpg,Bra,White,Winter
21290,Women,Accessories,Eyewear,2016.0,Casual,Allen Solly Women Oversized Sunglasses AS205-C3,21290.jpg,Sunglasses,Black,Winter
6882,Women,Apparel,Topwear,2011.0,Casual,Forever New Women Long Peach Jacket,6882.jpg,Jackets,White,Summer
10050,Men,Apparel,Topwear,2011.0,Casual,Puma Men Usain Bolt Black Tshirts,10050.jpg,Tshirts,Black,Summer
50297,Men,Accessories,Ties,2012.0,Casual,Parx Men Black Tie,50297.jpg,Ties,Black,Summer
25125,Women,Accessories,Bags,2015.0,Casual,Lino Perros Women Sequins Gold Clutch,25125.jpg,Clutches,Beige,Summer
27931,Women,Apparel,Topwear,2012.0,Casual,Jealous 21 Women White Shirt,27931.jpg,Tshirts,White,Fall
26654,Men,Footwear,Shoes,2012.0,Sports,Puma Men Black Sports Shoes,26654.jpg,Sports Shoes,Black,Summer
46086,Women,Footwear,Shoes,2012.0,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,46086.jpg,Casual Shoes,White,Fall
36025,Men,Accessories,Belts,2015.0,Casual,OTLS Men Brown & Black Reversible Leather Belt,36025.jpg,Belts,Brown,Summer
54580,Women,Apparel,Topwear,2012.0,Ethnic,Sushilas Women Printed Red Kurta,54580.jpg,Kurtas,Red,Summer
21251,Unisex,Accessories,Bags,2011.0,Casual,Skybags Unisex Red Duffle Bag,21251.jpg,Handbags,Red,Summer
19994,Men,Apparel,Topwear,2011.0,Casual,United Colors of Benetton Men Solid Black TShirt,19994.jpg,Tshirts,Black,Summer
28892,Women,Apparel,Innerwear,2012.0,Casual,Enamor Women Black Mid-Rise Bikini Brief,28892.jpg,Briefs,Black,Summer
29399,Men,Apparel,Bottomwear,2012.0,Formal,Genesis Men Grey Trousers,29399.jpg,Trousers,Blue,Fall
6988,Men,Apparel,Topwear,2011.0,Casual,s.Oliver Men's Qsm White T-shirt,6988.jpg,Tshirts,White,Fall
